user_id,reason,flagged_at,expires_at
10,SUSPICIOUS_PATTERN,2026-03-29 20:40:33.750413,2026-03-29 20:50:33.750413
2,RAPID_RETRY,2026-03-29 20:35:33.750868,2026-03-29 20:40:33.750868
9,TOO_MANY_ATTEMPTS,2026-03-29 20:34:33.750868,2026-03-29 20:44:33.750868
17,SUSPICIOUS_PATTERN,2026-03-29 20:37:33.750868,2026-03-29 20:42:33.750868
32,SUSPICIOUS_PATTERN,2026-03-29 20:44:33.750868,2026-03-29 20:49:33.750868
41,RAPID_RETRY,2026-03-29 20:07:33.750868,2026-03-29 20:37:33.750868
44,SUSPICIOUS_PATTERN,2026-03-29 20:36:33.750868,2026-03-29 20:46:33.750868
21,SUSPICIOUS_PATTERN,2026-03-29 19:56:33.750868,2026-03-29 20:06:33.750868
15,SUSPICIOUS_PATTERN,2026-03-29 19:53:33.750868,2026-03-29 20:23:33.750868
36,TOO_MANY_ATTEMPTS,2026-03-29 20:06:33.750868,2026-03-29 20:36:33.750868
21,SUSPICIOUS_PATTERN,2026-03-29 20:35:33.750868,2026-03-29 20:45:33.750868
49,TOO_MANY_ATTEMPTS,2026-03-29 20:08:33.750868,2026-03-29 20:38:33.750868
20,RAPID_RETRY,2026-03-29 20:35:33.750868,2026-03-29 20:45:33.750868
2,SUSPICIOUS_PATTERN,2026-03-29 20:35:33.750868,2026-03-29 20:45:33.750868
46,TOO_MANY_ATTEMPTS,2026-03-29 19:53:33.750868,2026-03-29 20:23:33.750868
17,RAPID_RETRY,2026-03-29 20:17:33.750868,2026-03-29 20:27:33.750868
46,TOO_MANY_ATTEMPTS,2026-03-29 19:48:33.750868,2026-03-29 20:18:33.750868
37,TOO_MANY_ATTEMPTS,2026-03-29 20:00:33.750868,2026-03-29 20:10:33.750868
14,RAPID_RETRY,2026-03-29 19:59:33.750868,2026-03-29 20:29:33.750868
12,TOO_MANY_ATTEMPTS,2026-03-29 20:39:33.750868,2026-03-29 20:49:33.750868
38,RAPID_RETRY,2026-03-29 19:53:33.750868,2026-03-29 20:03:33.750868
17,RAPID_RETRY,2026-03-29 20:04:33.750868,2026-03-29 20:09:33.750868
2,TOO_MANY_ATTEMPTS,2026-03-29 20:25:33.750868,2026-03-29 20:35:33.750868
3,TOO_MANY_ATTEMPTS,2026-03-29 20:44:33.750868,2026-03-29 21:14:33.750868
22,RAPID_RETRY,2026-03-29 20:44:33.750868,2026-03-29 21:14:33.750868
28,SUSPICIOUS_PATTERN,2026-03-29 20:00:33.750868,2026-03-29 20:30:33.750868
13,SUSPICIOUS_PATTERN,2026-03-29 20:40:33.750868,2026-03-29 20:50:33.750868
30,SUSPICIOUS_PATTERN,2026-03-29 20:31:33.750868,2026-03-29 20:36:33.750868
10,SUSPICIOUS_PATTERN,2026-03-29 20:38:33.750868,2026-03-29 20:43:33.750868
